id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,mw_dist,m31_dist,r_ell,ell_surf_dist
43,PiscesII,22,58,31.0,5,57,9,0.065,21.3,9.99,-227.0,16.3,0.5,77.0,0.4,25.7,1.1,0.1,0.1,5.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"348+2s.mir - Kirby et al. (2015) -226.5 km/s, dis = 5.4 km/s 0.04K except about 30 km/s to -80 (nasty baseline, mag st through region, clear at position, but interesting that diffuse elevated)",181.97008586099827,321.42495,galfa,upper_limit,0.0374291,,181.09930613492926,655.8643249630317,448.8444410204042,-183.01085429570895
44,ColumbaI,5,31,26.4,-28,1,48,9.999,21.3,0.22,999.9,16.8,0.2,999.9,9.99,99.9,1.9,0.5,0.4,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not velocity,181.97008586099827,5157.698348212833,hi4pi,upper_limit,0.022,no velocity,186.61959617597867,818.5654324067178,689.1593308916612,-86.52108080599487
45,Pegasus3,22,24,22.6,5,25,12,9.999,21.56,0.2,999.9,17.5,0.5,133.0,0.46,99.9,1.3,0.5,0.4,99.9,99.9,99.9,99.9,,g,unv,99.9,99.9,999.9,340+2s.mir - not seeing  ~0.06K void 30 to -60 km/s about,205.11621788255627,,,upper_limit,0.05,no velocity,203.1438772624104,657.3812407659716,503.34301274560397,-156.12320109360112
46,IndusI?,20,38,52.8,-46,9,36,9.999,21.65,0.16,999.9,17.4,0.2,999.9,9.99,99.9,2.9,1.1,1.0,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,213.79620895022325,6148.750326699301,hi4pi,upper_limit,0.019,no velocity,207.29559489704326,851.770514744259,742.6445595608517,-63.24129770461067
47,CanesVenatici(I),13,28,3.5,33,33,21,0.013999999999999999,21.69,0.1,30.9,13.1,0.2,70.0,0.39,27.1,8.9,0.4,0.4,7.6,0.4,99.9,99.9,,gs,u,0.0,0.0,0.0,"204+34 0.06K would benefit from unsharp mask as close to Galactic, baselines generally look quite good, but can see Josh’s point on velocity on-off on this one as baseline going up and down with position",217.7709772353159,,,upper_limit,0.0153018,"images missing, does have velocity",217.53232192670862,859.6165859273929,765.2583766448963,-52.893781397949574
48,LeoII,11,13,28.8,22,9,6,0.017,21.84,0.13,78.0,12.0,0.3,12.0,0.13,24.2,2.6,0.6,0.6,6.6,0.7,99.9,99.9,0.0,x,u,0.0,0.0,0.0,172+18  0.08K towards edge of the cube,233.34580622810043,893.58639,hi4pi,upper_limit,0.01158971,ok,235.9336693935732,897.2215213955776,805.2891469829119,-35.705862932768625
49,LeoI,10,8,28.1,12,18,23,0.036000000000000004,22.02,0.13,282.5,10.0,0.3,79.0,0.21,22.6,3.4,0.3,0.3,9.2,1.4,0.0,0.0,,gs,u,0.0,0.0,0.0,156+10  0.09K towards edge,253.5128630497907,,,upper_limit,0.031631,check HI4PI,257.39408344397714,917.8041500605676,849.5484946589173,-15.421046884390364
50,#Andromeda,0,42,44.3,41,16,9,0.684,24.47,0.07,-300.0,99.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,,,,,,,787.4587084604697,4.429646594539807,335.7110798239375,-295.35201623529633
51,M32,0,42,41.8,40,51,55,0.154,24.53,0.21,-199.0,8.1,0.1,159.0,0.25,11.1,0.47,0.05,0.05,92.0,5.0,55.0,3.0,0.0,x,u,0.0,0.0,0.0,,805.3784411990677,176702.82413085186,hi4pi,upper_limit,0.0384778,ok,809.3926515062443,26.96192681629513,357.9680179808525,-285.73809129220336
52,AndromedaIX,0,52,53.0,43,11,45,0.075,24.42,0.07,-209.4,16.3,1.1,999.9,9.99,28.0,2.5,0.1,0.1,10.9,2.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,765.5966069112569,55334.62428808137,hi4pi,upper_limit,0.0133341,ok,769.9102065544594,38.6579818764123,332.21943361279034,-262.96317841633385
