GalaxyName         RA e1 e2   Dec e3 e4 EB-V  (m-M)o e5  e6   vh(km/s) Vmag e7  e8  PA     e=1-b/a  muVo  rh(')   e9    e10  vsig_s e11  e12  vrot_s e13  e14   MHI   Data Key vsig_g  e15  e16  vrot_g notes
Grus1            22 56 42.4 -50  9 48 9.999 20.40 0.20 0.20  -141   17.0 0.3 0.3   4.0  0.41     99.9    1.77  0.85  0.39 99.9  99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9 
Pictoris1         4 43 47.4 -50 16 59 9.999 20.30 0.20 0.20  999.9   17.2 0.3 0.3  78.0  0.47     99.9    0.88  0.27  0.13 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9   
Carina             06 41 36.7 -50 57 58 0.061 20.11 0.13 0.13  222.9   11.0 0.5 0.5  65.0  0.33     25.5    8.20  1.20  1.20  6.6   1.2  1.2 00.0   00.0 00.0  00.0    x   u 00.0   00.0 00.0  00.0 
Hercules           16 31  2.0  12 47 30 0.063 20.60 0.20 0.20   45.2   14.0 0.3 0.3 102.0  0.68     27.2    8.60  1.80  1.10  3.7   0.9  0.9 99.9   99.9 99.9  3.41  gs   u 00.0   00.0 00.0  00.0 
HydraII           12 21 42.1 -31 59 07 0.053 20.64 0.16 0.16  303.1   15.8 0.3 0.3  28.0  0.01     99.9    1.70  0.30  0.20 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
Fornax             02 39 59.3 -34 26 57 0.021 20.84 0.18 0.18   55.3    7.4 0.3 0.3  41.0  0.30     23.3   16.60  1.20  1.20 11.7   0.9  0.9 00.0   00.0 00.0  0.17    x   u 00.0   00.0 00.0  00.0 
LeoIV             11 32 57.0  -0 32  0 0.026 20.94 0.09 0.09  132.3   15.1 0.4 0.4 121.0  0.49     27.5    4.60  0.80  0.80  3.3   1.7  1.7 99.9   99.9 99.9  3.36   gs  u 00.0   00.0 00.0  00.0 
CanesVenaticiII  12 57 10.0  34 19 15 0.010 21.02 0.06 0.06 -128.9   16.1 0.5 0.5 177.0  0.52     26.1    1.60  0.30  0.30  4.6   1.0  1.0 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
LeoV              11 31  9.6   2 13 12 0.027 21.25 0.12 0.12  173.3   16.0 0.4 0.4  96.0  0.50     27.1    2.60  0.60  0.60  3.7   2.3  1.4 99.9   99.9 99.9  00.0     x  u 00.0   00.0 00.0  00.0 
PiscesII          22 58 31.0   5 57  9 0.065 21.30 9.99 9.99  -227   16.3 0.5 0.5  77.0  0.40     25.7    1.10  0.10  0.10   5.4 99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9 
ColumbaI          5 31 26.4 -28  1 48 9.999 21.30 0.22 0.22  999.9   16.8 0.2 0.2 999.9  9.99     99.9    1.90  0.50  0.40 99.9  99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9 
Pegasus3         22 24 22.6  +5 25 12 9.999 21.56 0.20 0.20  999.9   17.5 0.5 0.5 133.0  0.46     99.9    1.30  0.50  0.40 99.9  99.9 99.9 99.9   99.9 99.9  3.43  g   unv 99.9   99.9 99.9 999.9 
IndusI?         20 38 52.8 -46  9 36 9.999 21.65 0.16 0.16  999.9   17.4 0.2 0.2 999.9  9.99     99.9    2.90  1.10  1.00 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
CanesVenatici(I) 13 28  3.5  33 33 21 0.014 21.69 0.10 0.10   30.9   13.1 0.2 0.2  70.0  0.39     27.1    8.90  0.40  0.40  7.6   0.4  0.4 99.9   99.9 99.9  3.60   gs  u 00.0   00.0 00.0  00.0 
LeoII             11 13 28.8  22  9  6 0.017 21.84 0.13 0.13   78.0   12.0 0.3 0.3  12.0  0.13     24.2    2.60  0.60  0.60  6.6   0.7  0.7 99.9   99.9 99.9  00.0    x   u 00.0   00.0 00.0  00.0 
LeoI              10  8 28.1  12 18 23 0.036 22.02 0.13 0.13  282.5   10.0 0.3 0.3  79.0  0.21     22.6    3.40  0.30  0.30  9.2   1.4  1.4 00.0   00.0 00.0  4.02   gs   u 00.0   00.0 00.0  00.0 
#Andromeda           0 42 44.3  41 16  9 0.684 24.47 0.07 0.07 -300.0   99.9 9.9 9.9 999.9  9.99     99.9   99.99  9.99  9.99 99.9  99.9 99.9 99.9   99.9 99.9  99.9   x    u 99.9   99.9 99.9  99.9 
M32                 0 42 41.8  40 51 55 0.154 24.53 0.21 0.21 -199.0    8.1 0.1 0.1 159.0  0.25     11.1    0.47  0.05  0.05 92.0   5.0  5.0 55.0    3.0  3.0  00.0     x  u 00.0   00.0 00.0  00.0 
AndromedaIX        0 52 53.0  43 11 45 0.075 24.42 0.07 0.07 -209.4   16.3 1.1 1.1 999.9  9.99     28.0    2.50  0.10  0.10 10.9   2.0  2.0 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
NGC205             0 40 22.1  41 41  7 0.085 24.58 0.07 0.07 -246.0    8.1 0.1 0.1  28.0  0.43     19.2    2.46  0.10  0.10 35.0   5.0  5.0 11.0    5.0  5.0  0.40      x u 16.1   99.9 99.9  00.0 
AndromedaI         0 45 39.8  38  2 28 0.053 24.36 0.07 0.07 -376.3   12.5 0.1 0.1  22.0  0.22     24.7    3.10  0.30  0.30 10.2   1.9  1.9 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
AndromedaXVII      0 37  7.0  44 19 20 0.074 24.31 0.11 0.08 -251.6   15.8 0.4 0.4 122.0  0.27     25.7    1.24  0.08  0.08  2.9   2.2  1.9 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
AndromedaXXVII     0 37 27.1  45 23 13 0.080 24.59 0.12 0.12 -539.6   16.7 0.5 0.5 150.0  0.40     27.6    1.80  0.30  0.30 14.8   4.3  3.1 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9  99.9 
AndromedaIII       0 35 33.8  36 29 52 0.056 24.37 0.07 0.07 -344.3   14.2 0.3 0.3 136.0  0.52     24.8    2.20  0.20  0.20  9.3   1.4  1.4 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
AndromedaXXV       0 30  8.9  46 51  7 0.101 24.55 0.12 0.12 -107.8   14.8 0.5 0.5 170.0  0.25     27.1    3.00  0.20  0.20  3.0   1.2  1.1 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9  99.9 
AndromedaXXVI      0 23 45.6  47 54 58 0.110 24.41 0.12 0.12 -261.6   17.3 0.5 0.5 145.0  0.25     27.4    1.00  0.10  0.10  8.6   2.8  2.2 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9  99.9 
