,GalaxyName,RA_hr,RA_min,RA_sec,Dec_hr,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,dist_pc,dist_kpc,dist_mpc,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,GNV,HNV,LIT,HRU
20,SagittariusII,19.0,52.0,40.5,-22.0,4.0,5.0,0.09699999999999999,19.13,0.15,0.15,999.9,13.9,0.4,0.4,72.0,0.23,99.9,2.0,0.4,0.3,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.13,"- not seeing anything,Laevens et al. 2015 discovery paper makes it sound like it could be a weird one again",,,66988.4609416526,66.98846094165259,0.06698846094165259,635.4234721453141,hi4pi,upper_limit,0.02,2.0,hi4pi_no_velocity,,,,,,635.4234721453141,,
21,SMC,0.0,52.0,44.8,-72.0,49.0,43.0,0.419,19.03,0.12,0.12,145.6,2.2,0.2,0.2,999.9,9.99,99.9,99.99,9.99,9.99,27.6,0.5,0.5,0.0,0.0,0.0,460.0,x,u,22.0,2.0,2.0,60.0,,19.03,,,,63973.48354826482,63.97348354826482,0.06397348354826482,460000000.0,literature,detected_mass,,,literature,,,,,,,460000000.0,
22,Bootes(I),14.0,0.0,6.0,14.0,30.0,0.0,0.017,19.11,0.08,0.08,99.0,12.8,0.2,0.2,14.0,0.39,27.5,12.6,1.0,1.0,2.4,0.9,0.5,99.9,99.9,99.9,2.76,gs,u,0.0,0.0,0.0,0.0,,19.11,212+10s.mir (at edge)  stdev 0.08K (0.073-0.075),,,66374.30704019089,66.37430704019089,0.06637430704019089,570.6050379717902,galfa,upper_limit,0.024946,,galfa_resolved_undetected,,,570.6050379717902,,,,,
23,Draco,17.0,20.0,12.4,57.0,54.0,55.0,0.027000000000000003,19.4,0.17,0.17,-291.0,10.6,0.2,0.2,89.0,0.31,25.0,10.0,0.3,0.3,9.1,1.2,1.2,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,19.4,,,,75857.75750291836,75.85775750291836,0.07585775750291836,506.9397025941739,hi4pi,upper_limit,0.21153000000000002,3.64,hi4pi_resolved_undetected,17.0,,,,,,,506.9397025941739
24,UrsaMinor,15.0,9.0,8.5,67.0,13.0,21.0,0.032,19.4,0.1,0.1,-246.9,10.6,0.5,0.5,53.0,0.56,26.0,8.2,1.2,1.2,9.5,1.2,1.2,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,19.4,,,,75857.75750291836,75.85775750291836,0.07585775750291836,598.5852364615366,hi4pi,upper_limit,0.014692400000000001,8.2,hi4pi_unresolved_undetected,,,,598.5852364615366,,,,
25,HorologiumII,3.0,16.0,32.1,-50.0,1.0,5.0,9.999,19.46,0.2,0.2,999.9,16.9,0.2,0.3,127.0,0.52,99.9,2.09,0.44,0.41,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.46,"- no seeing, Kim & Jerjen 2015 discovery paper",,,77983.01105232594,77.98301105232593,0.07798301105232594,775.0072456295995,hi4pi,upper_limit,0.018000000000000002,2.09,hi4pi_no_velocity,,,,,,775.0072456295995,,
26,Horologium1,2.0,55.0,31.7,-54.0,7.0,8.0,9.999,19.5,0.2,0.2,113.0,16.1,0.1,0.1,999.9,9.99,99.9,1.31,0.19,0.14,5.0,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.5,"- Koposov et al. 2015 v_hel = 113 km/s, disp 5 km/s, D=79 kpc",,,79432.82347242814,79.43282347242814,0.07943282347242814,764.3207540811753,hi4pi,upper_limit,0.017109700000000002,1.31,hi4pi_unresolved_undetected,,,,764.3207540811753,,,,
27,Eridanus3,2.0,22.0,45.5,-52.0,17.0,1.0,9.999,19.7,0.2,0.2,999.9,17.7,0.3,0.3,83.0,0.27,99.9,0.54,0.5,0.1,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.7,"- not seeing, Conn et al. says maybe star cluster",,,87096.35899560805,87.09635899560806,0.08709635899560805,1074.145846241324,hi4pi,upper_limit,0.02,0.54,hi4pi_no_velocity,,,,,,1074.145846241324,,
28,Phoenix2,23.0,39.0,59.4,-54.0,24.0,22.0,9.999,19.6,0.2,0.2,999.9,16.8,0.2,0.2,164.0,0.47,99.9,1.09,0.26,0.16,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.6,- not seeing,,,83176.37711026716,83.17637711026715,0.08317637711026717,832.6877565980333,hi4pi,upper_limit,0.017,1.09,hi4pi_no_velocity,,,,,,832.6877565980333,,
29,Sculptor,1.0,0.0,9.4,-33.0,42.0,33.0,0.018000000000000002,19.67,0.14,0.14,111.4,8.6,0.5,0.5,99.0,0.32,23.5,11.3,1.6,1.6,9.2,1.4,1.4,0.0,0.0,0.0,0.22,x,u,0.0,0.0,0.0,0.0,,19.67,,,,85901.3521505396,85.90135215053961,0.08590135215053961,3216.0910941879756,hi4pi,upper_limit,0.0615595,11.3,hi4pi_unresolved_undetected,,,,3216.0910941879756,,,,
30,Sextans(I),10.0,13.0,3.0,-1.0,36.0,53.0,0.047,19.67,0.1,0.1,224.2,10.4,0.5,0.5,56.0,0.35,27.1,27.8,1.2,1.2,7.9,1.3,1.3,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,19.67,(too south for g),,,85901.3521505396,85.90135215053961,0.08590135215053961,391.7321577994745,hi4pi,upper_limit,0.57736,1.9,hi4pi_resolved_undetected,77.0,,,,,,,391.7321577994745
