id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,r_ell_m1.2_rs15,ell_surf_dist_m1.2_rs15,r_ell_m1.0_rs20,ell_surf_dist_m1.0_rs20,r_ell_m1.5_rs15,ell_surf_dist_m1.5_rs15,r_ell_m1.0_rs25,ell_surf_dist_m1.0_rs25,r_ell_m1.0_rs15,ell_surf_dist_m1.0_rs15,r_ell_m1.5_rs20,ell_surf_dist_m1.5_rs20,r_ell_m1.5_rs25,ell_surf_dist_m1.5_rs25,r_ell_m1.2_rs25,ell_surf_dist_m1.2_rs25,r_ell_m1.2_rs20,ell_surf_dist_m1.2_rs20,mw_dist,m31_dist,r_per,r_per_err,r_apo,r_apo_err,rho_cgm_est,rho_cgm_est_err
22,Bootes(I),14,0,6.0,14,30,0,0.017,19.11,0.08,99.0,12.8,0.2,14.0,0.39,27.5,12.6,1.0,1.0,2.4,0.9,99.9,99.9,,gs,u,0.0,0.0,0.0,212+10s.mir (at edge)  stdev 0.08K (0.073-0.075),66.37430704019089,,,upper_limit,0.024946,"images missing, does have velocity",534.3545436812938,-192.89991956745445,569.4603320020061,-152.2112855071895,502.50544705052505,-210.81657382144962,568.0862849039468,-140.59740965024554,571.3725952499881,-164.73957095133258,499.9343920539413,-205.6102609931273,498.08693174730655,-200.78413459913438,530.4408362997133,-177.6152743058675,532.0769848759306,-184.96270715622242,63.96114037127117,815.5810026974414,43.599488789519896,8.42826709929159,107.87237371114794,31.847133245135108,8.284068074764607e-06,3.3081351215353443e-06
23,Draco,17,20,12.4,57,54,55,0.027000000000000003,19.4,0.17,-291.0,10.6,0.2,89.0,0.31,25.0,10.0,0.3,0.3,9.1,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,75.85775750291836,8617.974944100957,hi4pi,upper_limit,0.21153,"josh method, needs fixing",481.4417438836586,-201.14953518233605,513.3367202800445,-170.7421704241903,451.4132652626833,-215.8470949754241,511.16367606133065,-163.26095931980888,516.3543964400241,-178.89344314915357,447.3287123161795,-213.06445837722856,444.38361235755684,-210.4770782521259,475.2373681605931,-191.81663193669013,477.8353898816388,-196.28926835352354,75.87964874634542,750.4493783402327,33.73564888083108,6.615223008673317,105.75545605138751,11.923983804204028,0.0004888433783375287,0.00020221714814746758
24,UrsaMinor,15,9,8.5,67,13,21,0.032,19.4,0.1,-246.9,10.6,0.5,53.0,0.56,26.0,8.2,1.2,1.2,9.5,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,75.85775750291836,598.5852364615366,hi4pi,upper_limit,0.0146924,ok,488.10855682258824,-196.79757144943787,519.2116647108929,-166.1555598655853,458.47178164909167,-211.58751241460385,516.8200415624748,-158.60334504598376,522.5314047650352,-174.39577734174694,453.99415377994023,-208.73631432055745,450.76359536981346,-206.08976580118141,481.2938782606312,-187.31986693450307,484.1483624233223,-191.858997141413,77.80762889486151,753.8764924476371,34.74433156049419,5.352826307670459,94.461922223816,5.589407395039321,0.000565738344372854,0.0002321444291593086
25,HorologiumII,3,16,32.1,-50,1,5,9.999,19.46,0.2,999.9,16.9,0.2,127.0,0.52,99.9,2.09,0.44,0.41,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- no seeing, Kim & Jerjen 2015 discovery paper",77.98301105232593,775.0072456295995,hi4pi,upper_limit,0.018,no velocity,531.8492550378378,-178.6705619058494,561.8781116447688,-143.30549918128852,502.5891003681927,-195.04503440366457,559.1290608382054,-133.9892619975032,565.6926873704159,-153.49230385255572,497.50811667404594,-191.00956119905396,493.84113627687464,-187.29156834336402,524.0680846914579,-166.4112650067871,527.3280495696232,-172.2746939676936,79.05874934151106,792.6584399496238,,,,,,
26,Horologium1,2,55,31.7,-54,7,8,9.999,19.5,0.2,113.0,16.1,0.1,999.9,9.99,99.9,1.31,0.19,0.14,5.0,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Koposov et al. 2015 v_hel = 113 km/s, disp 5 km/s, D=79 kpc",79.43282347242814,764.3207540811753,hi4pi,upper_limit,0.0171097,ok,535.1275272299225,-177.37414606874964,565.1204391406384,-141.59519408061183,505.872512845455,-193.88489729154202,562.3563993291322,-132.1229598841883,568.9558206247406,-151.95395874280325,500.76773915801436,-189.74620630343642,497.0836496662501,-185.93449504804104,527.3070471373646,-164.87071868908933,530.5834654162505,-170.85061086546546,79.77741874913639,795.7437011036748,79.20101156726514,15.326278455180788,289.5983607145261,237.86492302437279,4.427093099171024e-05,2.109362296337259e-05
27,Eridanus3,2,22,45.5,-52,17,1,9.999,19.7,0.2,999.9,17.7,0.3,83.0,0.27,99.9,0.54,0.5,0.1,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing, Conn et al. says maybe star cluster",87.09635899560806,1074.145846241324,hi4pi,upper_limit,0.02,no velocity,539.8026608289753,-171.17909378195827,567.7800921868201,-136.45303516280023,511.54787299013594,-187.38662103976196,564.4604054649398,-127.43678584467477,572.3812631712254,-146.34872711270316,505.4537247674741,-183.47544279287607,501.04852965962255,-179.88037716848197,530.4391751766509,-159.2706870477359,534.3652095212582,-164.95798032036234,87.18903225680621,792.0960090281561,,,,,,
28,Phoenix2,23,39,59.4,-54,24,22,9.999,19.6,0.2,999.9,16.8,0.2,164.0,0.47,99.9,1.09,0.26,0.16,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,83.17637711026715,832.6877565980333,hi4pi,upper_limit,0.017,no velocity,532.2302724718535,-177.7990701898238,561.9482741113184,-142.6437922071051,503.12664189560826,-194.11165444334674,559.1143953980342,-133.41657972332288,565.8798542438806,-152.73916143989163,497.8934432428797,-190.1226826126397,494.11563754920144,-186.44857190878386,524.2125905341031,-165.65916190724556,527.572073592922,-171.46418260250044,80.19925249755157,791.7685500550291,,,,,,
29,Sculptor,1,0,9.4,-33,42,33,0.018000000000000002,19.67,0.14,111.4,8.6,0.5,99.0,0.32,23.5,11.3,1.6,1.6,9.2,1.4,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,85.90135215053961,,,upper_limit,0.0615595,I want to put this as an upper limit for the core.  MC had 0.22 in MHI column,504.03889954676634,-185.31921573618726,532.6004316649309,-154.57686764531903,475.6588618890484,-200.18484243725447,529.5073548175436,-147.0405357638006,536.887715442001,-162.8345983933111,469.93016636030944,-197.27595259775708,465.7886627094012,-194.5865215132317,495.27411089443785,-175.75898861979152,498.9491631342822,-180.3294320395455,86.11874901914614,759.3339028946015,58.47243405172812,6.055648928021583,124.98482576511157,13.88116467090266,0.0007207947578439045,0.0002883045927171468
30,Sextans(I),10,13,3.0,-1,36,53,0.047,19.67,0.1,224.2,10.4,0.5,56.0,0.35,27.1,27.8,1.2,1.2,7.9,1.3,0.0,0.0,0.0,x,u,0.0,0.0,0.0,(too south for g),85.90135215053961,30163.37615055954,hi4pi,upper_limit,0.57736,"josh method, needs fixing",566.807825482454,-169.20462968537842,598.3841093500195,-127.1915517275192,536.6479290002965,-187.67318297844258,596.0092565417996,-115.27758070729293,601.6830721949308,-140.19350597213673,532.2723287897455,-182.0358275497062,529.1198489953158,-176.84511725841315,560.096928749141,-153.0554876507282,562.9061843745112,-160.78965611728637,89.07160071556763,833.487105184919,75.57100774761308,7.685033885914032,293.48041234319464,120.69283902521653,0.00046871166559592844,0.0001883585933488862
31,ReticulumIII,3,45,26.4,-60,27,0,9.999,19.81,0.31,999.9,16.5,0.3,999.9,9.99,99.9,2.4,0.9,0.8,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,91.62204901219992,1010.3740397747455,hi4pi,upper_limit,0.017,no velocity,559.0133476364877,-164.11171385233018,587.0948417716938,-126.70783956900695,530.6193183884919,-181.19888631513737,583.7681636404387,-116.68409824793967,591.70669077015,-137.71641676134686,524.5323529110996,-176.619769753025,520.1340681217654,-172.4180579859944,549.6463090243134,-150.622596872758,553.5731480113213,-157.06390216107272,91.72257344118752,811.4254646497477,,,,,,
