# 		      cubename        cra       cdec     min_ra     max_ra    min_dec    max_dec
GALFA_HI_RA+DEC_252.00+10.35_W     252.00      10.35     247.74     256.26       6.09      14.61
GALFA_HI_RA+DEC_252.00+18.35_W     252.00      18.35     247.74     256.26      14.09      22.61
GALFA_HI_RA+DEC_252.00+26.35_W     252.00      26.35     247.74     256.26      22.09      30.61
GALFA_HI_RA+DEC_252.00+34.35_W     252.00      34.35     247.74     256.26      30.09      38.00
GALFA_HI_RA+DEC_260.00+02.35_W     260.00       2.35     255.74     264.26      -1.34       6.61
GALFA_HI_RA+DEC_260.00+10.35_W     260.00      10.35     255.74     264.26       6.09      14.61
GALFA_HI_RA+DEC_260.00+18.35_W     260.00      18.35     255.74     264.26      14.09      22.61
GALFA_HI_RA+DEC_260.00+26.35_W     260.00      26.35     255.74     264.26      22.09      30.61
GALFA_HI_RA+DEC_260.00+34.35_W     260.00      34.35     255.74     264.26      30.09      38.00
GALFA_HI_RA+DEC_268.00+02.35_W     268.00       2.35     263.74     272.26      -1.34       6.61
GALFA_HI_RA+DEC_268.00+10.35_W     268.00      10.35     263.74     272.26       6.09      14.61
GALFA_HI_RA+DEC_268.00+18.35_W     268.00      18.35     263.74     272.26      14.09      22.61
GALFA_HI_RA+DEC_268.00+26.35_W     268.00      26.35     263.74     272.26      22.09      30.61
GALFA_HI_RA+DEC_268.00+34.35_W     268.00      34.35     263.74     272.26      30.09      38.00
GALFA_HI_RA+DEC_276.00+02.35_W     276.00       2.35     271.74     280.26      -1.34       6.61
GALFA_HI_RA+DEC_276.00+10.35_W     276.00      10.35     271.74     280.26       6.09      14.61
GALFA_HI_RA+DEC_276.00+18.35_W     276.00      18.35     271.74     280.26      14.09      22.61
GALFA_HI_RA+DEC_276.00+26.35_W     276.00      26.35     271.74     280.26      22.09      30.61
GALFA_HI_RA+DEC_276.00+34.35_W     276.00      34.35     271.74     280.26      30.09      38.00
GALFA_HI_RA+DEC_284.00+02.35_W     284.00       2.35     279.74     288.26      -1.34       6.61
GALFA_HI_RA+DEC_284.00+10.35_W     284.00      10.35     279.74     288.26       6.09      14.61
GALFA_HI_RA+DEC_284.00+18.35_W     284.00      18.35     279.74     288.26      14.09      22.61
GALFA_HI_RA+DEC_284.00+26.35_W     284.00      26.35     279.74     288.26      22.09      30.61
GALFA_HI_RA+DEC_284.00+34.35_W     284.00      34.35     279.74     288.26      30.09      38.00
